% Universidad de Malaga - ETSI de Telecomunicacion (Spain)                         ,,,,,,,
% Date: 2017-04-14_23:38:59                                                        ,,,,,,,
% ID: Subject_01_ADL_Aplausing_2                                                   ,,,,,,,
% Name: Subject_01                                                                 ,,,,,,,
% Age: 67                                                                          ,,,,,,,
% Height(cm): 156                                                                  ,,,,,,,
% Weight(Kg): 76                                                                   ,,,,,,,
% Gender: F                                                                        ,,,,,,,
,,,,,,,
% Type of Movement: ADL                                                            ,,,,,,,
% Type of Movement: FALSE                                                          ,,,,,,,
% Description of the movement: Aplausing                                           ,,,,,,,
% Trial: 2                                                                         ,,,,,,,
,,,,,,,
% Number of Sensors: 5                                                             ,,,,,,,
,,,,,,,
% Used Smartphone: LGE-lge-LG-H815-5.1                                             ,,,,,,,
% Smartphone's Accelerometer: LGE Accelerometer - Vendor: BOSCH                    ,,,,,,,
% --> Version: 1                                                                   ,,,,,,,
% --> Min - Max Delay: 5000us - 65535000us                                         ,,,,,,,
% --> Maximum Range: 16.000000263891405 G                                          ,,,,,,,
% --> Resolution: 1.2136514986004396E-4 G                                          ,,,,,,,
,,,,,,,
% SensorTag's Accelerometer: MPU-9250 MEMS MotionTracking Device - Invensense      ,,,,,,,
% --> Maximum Range: 16 G                                                          ,,,,,,,
% --> Resolution: 0.00024 G                                                        ,,,,,,,
,,,,,,,
% MAC Address, Sensor_ID, Position, Device Model                                   ,,,,
%f8:95:c7:f3:ba:82,0, RIGHTPOCKET, lge-LG-H815-5.1                                ,,,,
%C4:BE:84:70:64:8A,1, CHEST, SensorTag                                            ,,,,
%C4:BE:84:71:A5:02,2, WAIST, SensorTag                                            ,,,,
%B0:B4:48:B8:77:03,4, ANKLE, SensorTag                                            ,,,,
%C4:BE:84:70:0E:80,3, WRIST, SensorTag                                            ,,,,
,,,,,,,
% Sensor_Type:                                                                     ,,,,,,,
% Accelerometer = 0                                                                ,,,,,,,
% Gyroscope = 1                                                                    ,,,,,,,
% Magnetometer = 2                                                                 ,,,,,,,
,,,,,,,
,,,,,,,
